DATA_BASE,TIPO_DESENROLA,UNIDADE_FEDERACAO,NOME_CONGLOMERADO_FINANCEIRO,NUMERO_OPERACOES,VOLUME_OPERACOES,MES,TRIMESTRE,ANO,MEDIA_OPERACAO,FAIXA_VOLUME,LOG_NUMERO_OPERACOES,LOG_VOLUME_OPERACOES
2023-09-01,2,BA,ITAU,6907,15390910.55,9,Q3,2023,2228.306145938903,Volume Alto,8.84043543926657,16.549287734080526
2023-09-01,2,BA,SANTANDER,8120,29227847.64,9,Q3,2023,3599.488625615764,Volume Alto,9.002208578282412,17.19063253328397
2023-09-01,2,BA,VOTORANTIM,192,1307913.99,9,Q3,2023,6812.05203125,Volume Alto,5.262690188904886,14.083944816532446
2023-09-01,2,CE,BB,973,6978990.71,9,Q3,2023,7172.6523227132575,Volume Alto,6.881411303642535,15.75841501014932
2023-09-01,2,CE,BRADESCO,433,2999572.06,9,Q3,2023,6927.4181524249425,Volume Alto,6.073044534100405,14.913980523171547
2023-09-01,2,CE,BTG PACTUAL,42,177031.25,9,Q3,2023,4215.0297619047615,Volume Alto,3.7612001156935624,12.084087198348776
2023-09-01,2,CE,CAIXA ECONÔMICA FEDERAL,710,1299168.26,9,Q3,2023,1829.8144507042255,Volume Alto,6.566672429803241,14.077235587395347
2023-09-01,2,CE,INTER,77,376253.75,9,Q3,2023,4886.412337662337,Volume Alto,4.356708826689592,12.83802171955025
2023-09-01,2,CE,ITAU,4056,8991571.51,9,Q3,2023,2216.856881163708,Volume Alto,8.308199063206446,16.011798308837808
2023-09-01,2,CE,SANTANDER,4300,17235541.52,9,Q3,2023,4008.2654697674416,Volume Alto,8.366602832783736,16.662484235244474
2023-09-01,2,CE,VOTORANTIM,160,798643.76,9,Q3,2023,4991.5235,Volume Alto,5.081404364984463,13.59067152012477
2023-09-01,2,DF,BB,399,4219099.63,9,Q3,2023,10574.184536340852,Volume Alto,5.991464547107982,15.255132542445638
2023-09-01,2,DF,BRADESCO,169,911548.15,9,Q3,2023,5393.776035502959,Volume Alto,5.135798437050262,13.722900793753528
2023-09-01,2,DF,BTG PACTUAL,35,217515.46,9,Q3,2023,6214.727428571428,Volume Alto,3.58351893845611,12.290029804808349
2023-09-01,2,DF,CAIXA ECONÔMICA FEDERAL,447,1052877.31,9,Q3,2023,2355.4302237136467,Volume Alto,6.104793232414985,13.867038219385726
2023-09-01,2,DF,INTER,59,365436.86,9,Q3,2023,6193.8450847457625,Volume Alto,4.0943445622221,12.808851530038115
2023-09-01,2,DF,ITAU,2256,6198897.81,9,Q3,2023,2747.7383909574464,Volume Alto,7.721791776817535,15.639882222950245
2023-09-01,2,DF,SANTANDER,2498,14424055.15,9,Q3,2023,5774.24145316253,Volume Alto,7.823645930834952,16.48440793667524
2023-09-01,2,DF,VOTORANTIM,76,438952.88,9,Q3,2023,5775.695789473684,Volume Alto,4.343805421853684,12.992149629590832
2023-09-01,2,ES,BB,292,1968526.87,9,Q3,2023,6741.53037671233,Volume Alto,5.680172609017068,14.492796547254022
2023-09-01,2,ES,BRADESCO,152,1048216.27,9,Q3,2023,6896.159671052632,Volume Alto,5.030437921392435,13.862601441077862
2023-09-01,2,ES,BTG PACTUAL,15,42593.5,9,Q3,2023,2839.5666666666666,Volume Médio,2.772588722239781,10.659480415941088
2023-09-01,2,ES,CAIXA ECONÔMICA FEDERAL,361,705873.54,9,Q3,2023,1955.3283656509695,Volume Alto,5.8916442118257715,13.46719279530147
2023-09-01,2,ES,INTER,53,234107.98,9,Q3,2023,4417.131698113208,Volume Alto,3.9889840465642745,12.363542012418641
2023-09-01,2,ES,ITAU,1514,3544027.97,9,Q3,2023,2340.83749669749,Volume Alto,7.323170717943469,15.080774765052931
2023-09-01,2,ES,SANTANDER,2091,8678068.91,9,Q3,2023,4150.200339550454,Volume Alto,7.645875825184813,15.97630970131167
2023-09-01,2,ES,VOTORANTIM,93,530402.84,9,Q3,2023,5703.256344086021,Volume Alto,4.543294782270004,13.181393957646588
2023-09-01,2,GO,BB,664,4597277.86,9,Q3,2023,6923.61123493976,Volume Alto,6.499787040655854,15.34097513424939
2023-09-01,2,GO,BRADESCO,323,2082691.7,9,Q3,2023,6447.961919504643,Volume Alto,5.780743515792329,14.549172181755425
2023-09-01,2,GO,BTG PACTUAL,42,238775.52,9,Q3,2023,5685.131428571428,Volume Alto,3.7612001156935624,12.383283330708245
2023-09-01,2,GO,CAIXA ECONÔMICA FEDERAL,1072,2124375.8,9,Q3,2023,1981.6938432835818,Volume Alto,6.9782137426306985,14.56898904674019
2023-09-01,2,GO,INTER,73,334468.97,9,Q3,2023,4581.7667123287665,Volume Alto,4.30406509320417,12.72030237873558
2023-09-01,2,GO,ITAU,4001,9626923.83,9,Q3,2023,2406.129425143714,Volume Alto,8.294549515143679,16.080074400481983
2023-09-01,2,GO,SANTANDER,3757,15870653.0,9,Q3,2023,4224.288794250732,Volume Alto,8.231642179973411,16.57998230148336
2023-09-01,2,GO,VOTORANTIM,171,1150371.15,9,Q3,2023,6727.316666666666,Volume Alto,5.147494476813453,13.955596056685085
2023-09-01,2,MA,BB,1084,7583238.46,9,Q3,2023,6995.607435424355,Volume Alto,6.98933526597456,15.841451035715405
2023-09-01,2,MA,BRADESCO,247,1231867.91,9,Q3,2023,4987.319473684211,Volume Alto,5.5134287461649825,14.024043013193491
2023-09-01,2,MA,BTG PACTUAL,25,215612.95,9,Q3,2023,8624.518,Volume Alto,3.258096538021482,12.28124481907781
2023-09-01,2,MA,CAIXA ECONÔMICA FEDERAL,320,541462.39,9,Q3,2023,1692.06996875,Volume Alto,5.771441123130016,13.202030734642703
2023-09-01,2,MA,INTER,28,122086.39,9,Q3,2023,4360.228214285714,Volume Alto,3.367295829986474,11.712492378762187
2023-09-01,2,MA,ITAU,1403,3073625.3,9,Q3,2023,2190.7521739130434,Volume Alto,7.247080584585756,14.9383686277011
2023-09-01,2,MA,SANTANDER,1938,7340860.98,9,Q3,2023,3787.8539628482977,Volume Alto,7.569927655242652,15.808966829662937
2023-09-01,2,MA,VOTORANTIM,81,694436.73,9,Q3,2023,8573.292962962963,Volume Alto,4.406719247264253,13.450857775529622
2023-09-01,2,MG,BB,1785,15719098.04,9,Q3,2023,8806.217389355741,Volume Alto,7.487733761436444,16.570387030345785
2023-09-01,2,MG,BRADESCO,793,4457830.11,9,Q3,2023,5621.475548549812,Volume Alto,6.677083461247136,15.310172907508647
2023-09-01,2,MG,BTG PACTUAL,109,681181.77,9,Q3,2023,6249.374036697248,Volume Alto,4.700480365792417,13.431585933851252
2023-09-01,2,MG,CAIXA ECONÔMICA FEDERAL,1917,3218261.79,9,Q3,2023,1678.8011424100157,Volume Alto,7.559038255443384,14.984352265723569
